current_path,filename,extension,size_bytes,primary_family,subfamily,lifecycle_status,authority,usage,scope,project,phase,trajectory,trajectory_role,logical_location_current,logical_location_target,naming_compliance,location_compliance,metadata_profile,content_summary,incoming_references,outgoing_references,duplicate_or_overlap,canonical_candidate,proposed_disposition,proposed_target_path,proposed_target_filename,rationale,risk_level,morris_gate_required,confidence,evidence,reserve_or_question,migration_lot_candidate
docs/adr/README.md,README.md,md,131,F13,,unknown,reference,unknown,tooling,,,N/A,N/A,docs,docs,compliant,ambiguous,E,# ADR Architecture Decision Records — décisions structurantes tracées. Source Notion : base ADR (`exports/notion/adr.j,,,no,no,investigate,docs/adr/README.md,README.md,Family F13 from path/content heuristics; D10 location ambiguous; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. D10 placement ambiguous — manual review. Lifecycle inferred insufficiently.,lot-E
docs/architecture/README.md,README.md,md,1966,F13,,unknown,reference,unknown,tooling,,,N/A,N/A,docs,docs,compliant,compliant,E,"# SFIA Architecture Documentation d'architecture SFIA : Domain Model, composants, flux et vues. Source Notion : Compon",,,no,no,keep,docs/architecture/README.md,README.md,Family F13 from path/content heuristics; D10 location compliant; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. Lifecycle inferred insufficiently.,lot-E
docs/architecture/sfia-decision-engine.md,sfia-decision-engine.md,md,56513,F06,,unknown,unknown,unknown,tooling,,,N/A,N/A,docs,method,non-compliant,compliant,F,--- source: Notion / SFIA Architecture status: foundation sync: manual-export version: v1.1 updated_after: SFIA foundati,docs/architecture/README.md,,no,no,rename,docs/architecture/sfia-decision-engine.md,2026-07-11-sfia-decision-engine.md,Family F06 from path/content heuristics; D10 location compliant; D12 naming non-compliant.,low,no,medium,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. Authority not established from content sample. Lifecycle inferred insufficiently.,lot-B
docs/architecture/sfia-delivery-pipeline.md,sfia-delivery-pipeline.md,md,57907,F06,,unknown,unknown,unknown,tooling,,,N/A,N/A,docs,method,compliant,compliant,F,--- source: Notion / SFIA Architecture status: reference sync: manual-export version: v1.1 previous: v1.0 updated_after:,docs/architecture/README.md,,no,no,keep,docs/architecture/sfia-delivery-pipeline.md,sfia-delivery-pipeline.md,Family F06 from path/content heuristics; D10 location compliant; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. Authority not established from content sample. Lifecycle inferred insufficiently.,lot-B
docs/architecture/sfia-domain-model.md,sfia-domain-model.md,md,26327,F06,,unknown,unknown,unknown,tooling,,,N/A,N/A,docs,method,compliant,compliant,F,--- source: Notion / SFIA Architecture status: reference sync: manual-export version: v1.1 previous: v1.0 updated_after:,docs/architecture/README.md,,no,no,keep,docs/architecture/sfia-domain-model.md,sfia-domain-model.md,Family F06 from path/content heuristics; D10 location compliant; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. Authority not established from content sample. Lifecycle inferred insufficiently.,lot-B
docs/architecture/sfia-meta-model.md,sfia-meta-model.md,md,45992,F06,,unknown,unknown,unknown,tooling,,,N/A,N/A,docs,method,compliant,compliant,F,--- source: Notion / SFIA Architecture status: reference sync: manual-export version: v1.1 previous: v1.0 updated_after:,docs/architecture/README.md,,no,no,keep,docs/architecture/sfia-meta-model.md,sfia-meta-model.md,Family F06 from path/content heuristics; D10 location compliant; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. Authority not established from content sample. Lifecycle inferred insufficiently.,lot-B
docs/architecture/sfia-platform-architecture.md,sfia-platform-architecture.md,md,63116,F06,,unknown,unknown,unknown,tooling,,,N/A,N/A,docs,method,compliant,compliant,F,--- source: Notion / SFIA Architecture status: reference sync: manual-export version: v1.1 previous: v1.0 updated_after:,docs/architecture/README.md,,no,no,keep,docs/architecture/sfia-platform-architecture.md,sfia-platform-architecture.md,Family F06 from path/content heuristics; D10 location compliant; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. Authority not established from content sample. Lifecycle inferred insufficiently.,lot-B
docs/architecture/sfia-repository-blueprint.md,sfia-repository-blueprint.md,md,41225,F06,,unknown,unknown,unknown,tooling,,,N/A,N/A,docs,method,compliant,compliant,F,--- source: Notion / SFIA Architecture status: reference sync: manual-export version: v1.1 previous: v1.0 updated_after:,docs/architecture/README.md,,no,no,keep,docs/architecture/sfia-repository-blueprint.md,sfia-repository-blueprint.md,Family F06 from path/content heuristics; D10 location compliant; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. Authority not established from content sample. Lifecycle inferred insufficiently.,lot-B
docs/foundation/README.md,README.md,md,208,F13,,unknown,reference,unknown,tooling,,,SFIA v1.1,historical,docs,docs,compliant,ambiguous,E,"# Foundation Principes fondateurs, gouvernance et cadre de la plateforme SFIA. Source Notion : Knowledge Articles, Sta",,,no,no,investigate,docs/foundation/README.md,README.md,Family F13 from path/content heuristics; D10 location ambiguous; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. D10 placement ambiguous — manual review. Lifecycle inferred insufficiently.,lot-E
docs/foundation/sfia-engineering-principles.md,sfia-engineering-principles.md,md,10488,F06,,unknown,unknown,unknown,tooling,,,SFIA v1.1,historical,docs,method,compliant,ambiguous,F,--- source: Notion / SFIA Architecture status: foundation sync: manual-export version: v1.1 updated_after: SFIA foundati,docs/architecture/README.md,,no,no,investigate,docs/foundation/sfia-engineering-principles.md,sfia-engineering-principles.md,Family F06 from path/content heuristics; D10 location ambiguous; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. D10 placement ambiguous — manual review. Authority not established from content sample. Lifecycle inferred insufficiently.,lot-B
docs/knowledge/README.md,README.md,md,183,F13,,unknown,reference,unknown,tooling,,,N/A,N/A,docs,docs,compliant,ambiguous,E,# Knowledge Articles de connaissance SFIA. Source Notion : base Knowledge Articles (`exports/notion/knowledge.json`).,,,no,no,investigate,docs/knowledge/README.md,README.md,Family F13 from path/content heuristics; D10 location ambiguous; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. D10 placement ambiguous — manual review. Lifecycle inferred insufficiently.,lot-E
docs/practices/README.md,README.md,md,592,F13,,unknown,reference,unknown,tooling,,,N/A,N/A,docs,docs,compliant,compliant,E,"# SFIA Platform — Practices Ce dossier contient les pratiques plateforme SFIA par rôle, discipline ou domaine. Il ne c",,,no,no,keep,docs/practices/README.md,README.md,Family F13 from path/content heuristics; D10 location compliant; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. Lifecycle inferred insufficiently.,lot-E
docs/practices/architecture/functional-architecture-checklist.md,functional-architecture-checklist.md,md,4845,F06,,draft,unknown,unknown,tooling,,,N/A,N/A,docs,docs,compliant,compliant,F,# Checklist — Architecture fonctionnelle détaillée **Type** : Checklist SFIA **Domaine** : Architecture fonctionnelle,prompts/architecture/functional-architecture-prompt-family.md,,no,no,keep,docs/practices/architecture/functional-architecture-checklist.md,functional-architecture-checklist.md,Family F06 from path/content heuristics; D10 location compliant; D12 naming compliant.,low,no,high,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. Authority not established from content sample.,lot-E
docs/practices/architecture/functional-architecture-deliverables-standard.md,functional-architecture-deliverables-standard.md,md,9546,F06,,draft,unknown,unknown,tooling,,,N/A,N/A,docs,docs,compliant,compliant,F,# Standard des livrables — Architecture fonctionnelle détaillée **Type** : Standard documentaire SFIA **Domaine** : A,docs/practices/architecture/functional-architecture-checklist.md; prompts/architecture/functional-architecture-prompt-family.md,,no,no,keep,docs/practices/architecture/functional-architecture-deliverables-standard.md,functional-architecture-deliverables-standard.md,Family F06 from path/content heuristics; D10 location compliant; D12 naming compliant.,low,no,high,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. Authority not established from content sample.,lot-E
docs/practices/architecture/functional-architecture-method.md,functional-architecture-method.md,md,12902,F06,,draft,unknown,unknown,tooling,,,N/A,N/A,docs,docs,compliant,compliant,F,# Méthode — Architecture fonctionnelle détaillée **Type** : Méthode SFIA **Domaine** : Architecture fonctionnelle *,docs/practices/architecture/functional-architecture-checklist.md; prompts/architecture/functional-architecture-prompt-family.md,,no,no,keep,docs/practices/architecture/functional-architecture-method.md,functional-architecture-method.md,Family F06 from path/content heuristics; D10 location compliant; D12 naming compliant.,low,no,high,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. Authority not established from content sample.,lot-E
docs/practices/methods-structure-check.md,methods-structure-check.md,md,7511,F06,,draft,unknown,unknown,tooling,,,N/A,N/A,docs,docs,compliant,compliant,F,# SFIA — Methods Structure Check **Statut** : Draft **Objet** : contrôle de cohérence post-réorganisation des méthode,,,no,no,keep,docs/practices/methods-structure-check.md,methods-structure-check.md,Family F06 from path/content heuristics; D10 location compliant; D12 naming compliant.,low,no,high,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. Authority not established from content sample.,lot-E
docs/practices/process/bpmn-deliverables-standard.md,bpmn-deliverables-standard.md,md,5625,F06,,candidate,supporting,operational,tooling,,,N/A,N/A,docs,docs,compliant,compliant,F,# SFIA — Standard des livrables BPMN **Type** : Standard méthodologique **Statut** : Draft **Domaine** : Process Mo,docs/practices/process/bpmn-integration-checklist.md; docs/practices/process/bpmn-integration-checklist.md; docs/practices/process/bpmn-method-cycle-closure.md; docs/practices/process/bpmn-method-cycle-closure.md; docs/practices/process/bpmn-method-cycle-closure.md; docs/practices/process/bpmn-method-cycle-closure.md; docs/practices/process/bpmn-method-integration-audit.md; docs/practices/process/bpmn-process-modeling-method.md; docs/practices/process/bpmn-process-modeling-method.md; prompts/bpmn/bpmn-prompt-family.md,,no,no,keep,docs/practices/process/bpmn-deliverables-standard.md,bpmn-deliverables-standard.md,Family F06 from path/content heuristics; D10 location compliant; D12 naming compliant.,low,no,high,path+content-sample+incoming-link-count,,lot-E
docs/practices/process/bpmn-integration-checklist.md,bpmn-integration-checklist.md,md,5221,F06,,draft,unknown,operational,tooling,,,N/A,N/A,docs,docs,compliant,compliant,F,# SFIA — Checklist d'intégration BPMN **Type** : Checklist méthodologique **Statut** : Draft **Domaine** : Process,docs/practices/process/bpmn-deliverables-standard.md; docs/practices/process/bpmn-method-cycle-closure.md; docs/practices/process/bpmn-method-integration-audit.md; docs/practices/process/bpmn-process-modeling-method.md; prompts/bpmn/bpmn-prompt-family.md,,no,no,keep,docs/practices/process/bpmn-integration-checklist.md,bpmn-integration-checklist.md,Family F06 from path/content heuristics; D10 location compliant; D12 naming compliant.,low,no,high,path+content-sample+incoming-link-count,Authority not established from content sample.,lot-E
docs/practices/process/bpmn-method-cycle-closure.md,bpmn-method-cycle-closure.md,md,8126,F06,,draft,unknown,unknown,tooling,,,N/A,N/A,docs,docs,compliant,compliant,F,# SFIA — Clôture du cycle méthode BPMN **Type** : Synthèse de clôture méthodologique **Statut** : Draft — prêt pour P,,,no,no,keep,docs/practices/process/bpmn-method-cycle-closure.md,bpmn-method-cycle-closure.md,Family F06 from path/content heuristics; D10 location compliant; D12 naming compliant.,low,no,high,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. Authority not established from content sample.,lot-E
docs/practices/process/bpmn-method-integration-audit.md,bpmn-method-integration-audit.md,md,16086,F09,,draft,supporting,operational,tooling,,,N/A,N/A,docs,docs,non-compliant,compliant,B,# SFIA — Audit d'intégration BPMN dans la méthodologie **Type** : Audit méthodologique **Statut** : Draft **Phase**,docs/practices/process/bpmn-deliverables-standard.md; docs/practices/process/bpmn-deliverables-standard.md; docs/practices/process/bpmn-integration-checklist.md; docs/practices/process/bpmn-method-cycle-closure.md; docs/practices/process/bpmn-method-cycle-closure.md; docs/practices/process/bpmn-method-cycle-closure.md; docs/practices/process/bpmn-method-cycle-closure.md; docs/practices/process/bpmn-method-cycle-closure.md; docs/practices/process/bpmn-process-modeling-method.md,,no,no,rename,docs/practices/process/bpmn-method-integration-audit.md,2026-07-11-bpmn-method-integration-audit.md,Family F09 from path/content heuristics; D10 location compliant; D12 naming non-compliant.,medium,no,high,path+content-sample+incoming-link-count,,lot-D
docs/practices/process/bpmn-process-modeling-method.md,bpmn-process-modeling-method.md,md,8382,F06,,candidate,supporting,operational,tooling,,,N/A,N/A,docs,docs,compliant,compliant,F,# SFIA — Méthode de modélisation BPMN **Type** : Méthode **Statut** : Draft **Domaine** : Process Modeling / BPMN,docs/practices/process/bpmn-deliverables-standard.md; docs/practices/process/bpmn-deliverables-standard.md; docs/practices/process/bpmn-integration-checklist.md; docs/practices/process/bpmn-integration-checklist.md; docs/practices/process/bpmn-integration-checklist.md; docs/practices/process/bpmn-method-cycle-closure.md; docs/practices/process/bpmn-method-cycle-closure.md; docs/practices/process/bpmn-method-cycle-closure.md; docs/practices/process/bpmn-method-cycle-closure.md; docs/practices/process/bpmn-method-cycle-closure.md,,no,no,keep,docs/practices/process/bpmn-process-modeling-method.md,bpmn-process-modeling-method.md,Family F06 from path/content heuristics; D10 location compliant; D12 naming compliant.,low,no,high,path+content-sample+incoming-link-count,,lot-E
docs/practices/roles/README.md,README.md,md,466,F13,,unknown,reference,unknown,tooling,,,N/A,N/A,docs,docs,compliant,compliant,E,# SFIA Role Methods Ce dossier contient les **méthodes SFIA par rôle**. Chaque fichier décrit : - la mission du rôle,,,no,no,keep,docs/practices/roles/README.md,README.md,Family F13 from path/content heuristics; D10 location compliant; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. Lifecycle inferred insufficiently.,lot-E
docs/practices/roles/architect-method.md,architect-method.md,md,16398,F06,,draft,unknown,unknown,tooling,,,N/A,N/A,docs,docs,compliant,compliant,F,# Architecte — SFIA Role Method **Statut** : Draft **Source pilote** : PRJ-INTERV360 **Origine** : role-methods-fra,,,no,no,keep,docs/practices/roles/architect-method.md,architect-method.md,Family F06 from path/content heuristics; D10 location compliant; D12 naming compliant.,low,no,high,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. Authority not established from content sample.,lot-E
docs/practices/roles/business-analyst-method.md,business-analyst-method.md,md,9880,F06,,draft,unknown,unknown,tooling,,,N/A,N/A,docs,docs,compliant,compliant,F,# Business Analyst — SFIA Role Method **Statut** : Draft **Source pilote** : PRJ-INTERV360 **Origine** : role-metho,,,no,no,keep,docs/practices/roles/business-analyst-method.md,business-analyst-method.md,Family F06 from path/content heuristics; D10 location compliant; D12 naming compliant.,low,no,high,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. Authority not established from content sample.,lot-E
docs/practices/roles/product-owner-method.md,product-owner-method.md,md,16703,F06,,draft,unknown,unknown,tooling,,,N/A,N/A,docs,docs,compliant,compliant,F,# Product Owner — SFIA Role Method **Statut** : Draft **Source pilote** : PRJ-INTERV360 **Origine** : role-methods-,,,no,no,keep,docs/practices/roles/product-owner-method.md,product-owner-method.md,Family F06 from path/content heuristics; D10 location compliant; D12 naming compliant.,low,no,high,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. Authority not established from content sample.,lot-E
docs/practices/roles/project-manager-method.md,project-manager-method.md,md,15616,F06,,draft,unknown,unknown,tooling,,,N/A,N/A,docs,docs,compliant,compliant,F,# Chef de projet — SFIA Role Method **Statut** : Draft **Source pilote** : PRJ-INTERV360 **Origine** : role-methods,,,no,no,keep,docs/practices/roles/project-manager-method.md,project-manager-method.md,Family F06 from path/content heuristics; D10 location compliant; D12 naming compliant.,low,no,high,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. Authority not established from content sample.,lot-E
docs/practices/roles/qa-tester-method.md,qa-tester-method.md,md,14391,F06,,unknown,unknown,unknown,tooling,,,N/A,N/A,docs,docs,compliant,compliant,F,# Méthode rôle — QA / Testeur **Rôle** : QA / Testeur **Statut** : Official role method **Source de création** : In,prompts/qa/qa-tester-prompt-family.md; prompts/qa/qa-tester-prompt-family.md,,no,no,keep,docs/practices/roles/qa-tester-method.md,qa-tester-method.md,Family F06 from path/content heuristics; D10 location compliant; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. Authority not established from content sample. Lifecycle inferred insufficiently.,lot-E
docs/practices/roles/rssi-method.md,rssi-method.md,md,16077,F06,,draft,unknown,unknown,tooling,,,N/A,N/A,docs,docs,compliant,compliant,F,# RSSI — SFIA Role Method **Statut** : Draft **Source pilote** : PRJ-INTERV360 **Origine** : role-methods-framing.m,,,no,no,keep,docs/practices/roles/rssi-method.md,rssi-method.md,Family F06 from path/content heuristics; D10 location compliant; D12 naming compliant.,low,no,high,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. Authority not established from content sample.,lot-E
docs/practices/roles/ux-ui-designer-method.md,ux-ui-designer-method.md,md,16294,F06,,draft,unknown,unknown,tooling,,,N/A,N/A,docs,docs,compliant,compliant,F,# UX/UI Designer — SFIA Role Method **Statut** : Draft **Source pilote** : PRJ-INTERV360 **Origine** : role-methods,,,no,no,keep,docs/practices/roles/ux-ui-designer-method.md,ux-ui-designer-method.md,Family F06 from path/content heuristics; D10 location compliant; D12 naming compliant.,low,no,high,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. Authority not established from content sample.,lot-E
docs/practices/ux-ui/ux-ui-reprise-checklist.md,ux-ui-reprise-checklist.md,md,6567,F06,,draft,unknown,unknown,tooling,,,N/A,N/A,docs,docs,compliant,compliant,F,# Checklist — Reprise UX/UI documentaire **Type** : Checklist SFIA **Domaine** : UX/UI — reprise documentaire **Sta,prompts/ux-ui/ux-ui-reprise-prompt-family.md,,no,no,keep,docs/practices/ux-ui/ux-ui-reprise-checklist.md,ux-ui-reprise-checklist.md,Family F06 from path/content heuristics; D10 location compliant; D12 naming compliant.,low,no,high,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. Authority not established from content sample.,lot-E
docs/practices/ux-ui/ux-ui-reprise-deliverables-standard.md,ux-ui-reprise-deliverables-standard.md,md,10312,F06,,draft,unknown,unknown,tooling,,,N/A,N/A,docs,docs,compliant,compliant,F,# Standard des livrables — Reprise UX/UI documentaire **Type** : Standard documentaire SFIA **Domaine** : UX/UI — rep,docs/practices/ux-ui/ux-ui-reprise-checklist.md; prompts/ux-ui/ux-ui-reprise-prompt-family.md,,no,no,keep,docs/practices/ux-ui/ux-ui-reprise-deliverables-standard.md,ux-ui-reprise-deliverables-standard.md,Family F06 from path/content heuristics; D10 location compliant; D12 naming compliant.,low,no,high,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. Authority not established from content sample.,lot-E
docs/practices/ux-ui/ux-ui-reprise-method.md,ux-ui-reprise-method.md,md,10438,F06,,draft,unknown,unknown,tooling,,,N/A,N/A,docs,docs,compliant,compliant,F,# Méthode — Reprise UX/UI documentaire **Type** : Méthode SFIA **Domaine** : UX/UI — reprise documentaire **Statut*,docs/practices/ux-ui/ux-ui-reprise-checklist.md; prompts/ux-ui/ux-ui-reprise-prompt-family.md,,no,no,keep,docs/practices/ux-ui/ux-ui-reprise-method.md,ux-ui-reprise-method.md,Family F06 from path/content heuristics; D10 location compliant; D12 naming compliant.,low,no,high,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. Authority not established from content sample.,lot-E
docs/rex/README.md,README.md,md,105,F13,,unknown,reference,unknown,tooling,,,N/A,N/A,docs,docs,compliant,ambiguous,E,# REX Retours d'expérience et leçons apprises. Source Notion : base REX (`exports/notion/rex.json`).,,,no,no,investigate,docs/rex/README.md,README.md,Family F13 from path/content heuristics; D10 location ambiguous; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. D10 placement ambiguous — manual review. Lifecycle inferred insufficiently.,lot-E
docs/roadmaps/cmp-technical-roadmap.md,cmp-technical-roadmap.md,md,4003,F06,,draft,unknown,unknown,tooling,,,N/A,N/A,docs,docs,compliant,ambiguous,F,# Roadmap technique — CMP / SFIA outillage **Statut** : Draft **Objet** : évolutions techniques CMP-001 et outillage,,,no,no,investigate,docs/roadmaps/cmp-technical-roadmap.md,cmp-technical-roadmap.md,Family F06 from path/content heuristics; D10 location ambiguous; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. D10 placement ambiguous — manual review. Authority not established from content sample.,lot-E
docs/standards/README.md,README.md,md,246,F13,,unknown,reference,unknown,tooling,,,N/A,N/A,docs,docs,compliant,ambiguous,E,# SFIA Platform — Standards Ce dossier contient les standards transverses de la plateforme SFIA. Ils sont distincts de,,,no,no,investigate,docs/standards/README.md,README.md,Family F13 from path/content heuristics; D10 location ambiguous; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. D10 placement ambiguous — manual review. Lifecycle inferred insufficiently.,lot-E
docs/standards/ux-ui-v1-governance-standard.md,ux-ui-v1-governance-standard.md,md,17910,F06,,unknown,unknown,unknown,tooling,,,N/A,N/A,docs,docs,compliant,ambiguous,F,# SFIA — Standard gouvernance UX/UI V1 **Statut** : Official standard **Type** : Standard de gouvernance UX/UI **Ve,,,no,no,investigate,docs/standards/ux-ui-v1-governance-standard.md,ux-ui-v1-governance-standard.md,Family F06 from path/content heuristics; D10 location ambiguous; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. D10 placement ambiguous — manual review. Authority not established from content sample. Lifecycle inferred insufficiently.,lot-E
docs/templates/README.md,README.md,md,305,F13,,unknown,reference,unknown,tooling,,,N/A,N/A,docs,docs,compliant,compliant,E,# SFIA Platform — Templates Ce dossier contient les templates plateforme SFIA. Ils sont distincts des templates opérat,,,no,no,keep,docs/templates/README.md,README.md,Family F13 from path/content heuristics; D10 location compliant; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. Lifecycle inferred insufficiently.,lot-E
